id,상위법령ID,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명
P03319,000898,지방교육자치에 관한 법률,29,시ㆍ도의회의 교육ㆍ학예에 관한 사무의 지원,① 시·도의회의 교육·학예에 관한 사무를 처리하기 위하여 조례로 정하는 바에 따라 시·도의회의 사무처에 지원조직과 사무직원을 둔다.,조례로,위임자치법규,조례,자치법규,대구광역시교육감 소속 지방공무원 정원 조례
P06438,000889,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,영양군 학교급식 지원 조례
P02783,009874,유아교육법 시행령,22,조례 등에의 위임,"이 영에서 규정한 사항 외에 국립ㆍ공립 유치원에 두는 운영위원회의 구성 및 운영에 필요한 사항은 국립유치원의 경우에는 유치원규칙으로, 공립유치원의 경우에는 시ㆍ도의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,충청남도 학교운영위원회 설치ㆍ운영에 관한 조례
P03139,010449,장애인 등에 대한 특수교육법,28,특수교육 관련서비스,"⑦ 제6항의 생활지도원과 간호사 또는 간호조무사의 배치기준은 국립학교의 경우 교육부령으로, 공립 및 사립 학교의 경우에는 시·도 교육규칙으로 각각 정한다.",교육규칙으로,위임자치법규,부령,자치법규,전북특별자치도 특수학교 기숙사 생활지도원 등의 배치 및 시설ㆍ설비 기준에 관한 규칙
P03397,000898,지방교육자치에 관한 법률,34,하급교육행정기관의 설치 등,"②교육지원청의 관할구역과 위치는 시ㆍ도의 조례로 정하고, 명칭은 대통령령으로 정하는 범위에서 시ㆍ도의 조례로 정한다.",명칭은 대통령령으로 정하는 범위에서 시ㆍ도의 조례로 정한다,위임자치법규,대통령령,자치법규,서울특별시교육청 행정기구 설치 조례
P03697,005061,지방교육행정기관의 행정기구와 정원기준 등에 관한 규정,20,정원의 규정,"② 제13조에 따른 단위기관별 정원은 제1항에 따른 정원의 총수 범위에서 종류별·직급별로 구분하여 해당 시·도의 조례로 정한다. 다만, 다음 각 호의 어느 하나에 해당하는 정원은 조례로 그 총수만 정하고 그 범위에서 제13조제2항에 따른 단위기관별로 해당 시·도의 교육규칙으로 정한다",총수만 정하고 그 범위에서 제13조제2항에 따른 단위기관별로 해당 시.도의 교육규칙으로 정한다,위임자치법규,조례,자치법규,전북특별자치도교육감 소속 지방공무원 정원 규칙
P04371,005238,초ㆍ중등교육법 시행령,54,다문화교육지원센터의 설치ㆍ운영 등,2. 제2항에 따른 지역다문화교육지원센터의 경우: 해당 시ㆍ도의 조례,조례,위임자치법규,조례,자치법규,전라남도교육청 다문화교육 진흥 조례
P05251,000851,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,청송군 평생교육 진흥조례
P01941,011331,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,어린이가 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,군산시 어린이ㆍ노인 및 장애인 보호구역 교통안전과 관리에 관한 조례
P06340,003751,평생교육법 시행령,77,권한의 위임ㆍ위탁,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,조례로,위임자치법규,조례,자치법규,부산광역시교육감 행정권한의 위임ㆍ위탁에 관한 조례
